manuscript_section,page_or_location,table_or_figure,claim_or_metric,displayed_value,source_file,source_row,source_full_precision,rounding,generating_script,canonical_lineage,PASS_FAIL
Results,Table 2,Table 2,Pearson_r,0.937971819685298,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/multi_aoi_metrics.csv,AOI=AOI-02; sensor=landsat; window=W2023; target_year=2025,0.937971819685298,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 2,Table 2,RMSE,0.060363,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/multi_aoi_metrics.csv,AOI=AOI-02; sensor=landsat; window=W2024; target_year=2025,0.0603633392006119,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 2,Table 2,MAE,0.046436,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/multi_aoi_metrics.csv,AOI=AOI-02; sensor=landsat; window=W2024; target_year=2025,0.0464362886847532,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 2,Table 2,Bias,0.018517,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/multi_aoi_metrics.csv,AOI=AOI-02; sensor=landsat; window=W2024; target_year=2025,0.0185172141314255,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 2,Table 2,R2,0.8652866953465363,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/multi_aoi_metrics.csv,AOI=AOI-02; sensor=landsat; window=W2024; target_year=2025,0.8652866953465363,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 2,Table 2,Pearson_r,0.9379718196852976,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/multi_aoi_metrics.csv,AOI=AOI-02; sensor=landsat; window=W2024; target_year=2025,0.9379718196852976,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 2,Table 2,RMSE,0.057445,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/multi_aoi_metrics.csv,AOI=AOI-02; sensor=landsat; window=W2022_2023; target_year=2025,0.057445153399661,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 2,Table 2,MAE,0.044311,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/multi_aoi_metrics.csv,AOI=AOI-02; sensor=landsat; window=W2022_2023; target_year=2025,0.0443105776824502,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 2,Table 2,Bias,0.006946,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/multi_aoi_metrics.csv,AOI=AOI-02; sensor=landsat; window=W2022_2023; target_year=2025,0.0069461803464485,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 2,Table 2,R2,0.8779969284805731,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/multi_aoi_metrics.csv,AOI=AOI-02; sensor=landsat; window=W2022_2023; target_year=2025,0.8779969284805731,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 2,Table 2,Pearson_r,0.937971819685298,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/multi_aoi_metrics.csv,AOI=AOI-02; sensor=landsat; window=W2022_2023; target_year=2025,0.937971819685298,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 2,Table 2,RMSE,0.062291,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/multi_aoi_metrics.csv,AOI=AOI-02; sensor=landsat; window=W2023_2024; target_year=2025,0.0622913612206142,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 2,Table 2,MAE,0.048331,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/multi_aoi_metrics.csv,AOI=AOI-02; sensor=landsat; window=W2023_2024; target_year=2025,0.048331183741156,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 2,Table 2,Bias,0.024997,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/multi_aoi_metrics.csv,AOI=AOI-02; sensor=landsat; window=W2023_2024; target_year=2025,0.0249972076531057,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 2,Table 2,R2,0.85654370169073,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/multi_aoi_metrics.csv,AOI=AOI-02; sensor=landsat; window=W2023_2024; target_year=2025,0.85654370169073,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 2,Table 2,Pearson_r,0.9379718196852976,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/multi_aoi_metrics.csv,AOI=AOI-02; sensor=landsat; window=W2023_2024; target_year=2025,0.9379718196852976,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 2,Table 2,RMSE,0.058589,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/multi_aoi_metrics.csv,AOI=AOI-02; sensor=landsat; window=W2022_2024; target_year=2025,0.0585893432074184,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 2,Table 2,MAE,0.045287,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/multi_aoi_metrics.csv,AOI=AOI-02; sensor=landsat; window=W2022_2024; target_year=2025,0.0452870003451738,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 2,Table 2,Bias,0.013381,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/multi_aoi_metrics.csv,AOI=AOI-02; sensor=landsat; window=W2022_2024; target_year=2025,0.0133811559851205,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 2,Table 2,R2,0.8730884241914783,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/multi_aoi_metrics.csv,AOI=AOI-02; sensor=landsat; window=W2022_2024; target_year=2025,0.8730884241914783,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 2,Table 2,Pearson_r,0.9379718196852972,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/multi_aoi_metrics.csv,AOI=AOI-02; sensor=landsat; window=W2022_2024; target_year=2025,0.9379718196852972,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 2,Table 2,RMSE,0.057206,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/multi_aoi_metrics.csv,AOI=AOI-02; sensor=modis; window=W2022; target_year=2025,0.0572061428477001,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 2,Table 2,MAE,0.043342,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/multi_aoi_metrics.csv,AOI=AOI-02; sensor=modis; window=W2022; target_year=2025,0.0433420255544829,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 2,Table 2,Bias,0.013577,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/multi_aoi_metrics.csv,AOI=AOI-02; sensor=modis; window=W2022; target_year=2025,0.0135768470479175,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 2,Table 2,R2,0.7549771974357876,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/multi_aoi_metrics.csv,AOI=AOI-02; sensor=modis; window=W2022; target_year=2025,0.7549771974357876,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 2,Table 2,Pearson_r,0.8768581830923972,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/multi_aoi_metrics.csv,AOI=AOI-02; sensor=modis; window=W2022; target_year=2025,0.8768581830923972,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 2,Table 2,RMSE,0.056927,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/multi_aoi_metrics.csv,AOI=AOI-02; sensor=modis; window=W2023; target_year=2025,0.0569266511551095,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 2,Table 2,MAE,0.043969,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/multi_aoi_metrics.csv,AOI=AOI-02; sensor=modis; window=W2023; target_year=2025,0.0439691058069198,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 2,Table 2,Bias,-0.011395,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/multi_aoi_metrics.csv,AOI=AOI-02; sensor=modis; window=W2023; target_year=2025,-0.0113949067370488,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 2,Table 2,R2,0.7573655614739481,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/multi_aoi_metrics.csv,AOI=AOI-02; sensor=modis; window=W2023; target_year=2025,0.7573655614739481,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 2,Table 2,Pearson_r,0.8768579330350761,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/multi_aoi_metrics.csv,AOI=AOI-02; sensor=modis; window=W2023; target_year=2025,0.8768579330350761,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 2,Table 2,RMSE,0.064538,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/multi_aoi_metrics.csv,AOI=AOI-02; sensor=modis; window=W2024; target_year=2025,0.0645379145692177,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 2,Table 2,MAE,0.049177,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/multi_aoi_metrics.csv,AOI=AOI-02; sensor=modis; window=W2024; target_year=2025,0.0491772304027757,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 2,Table 2,Bias,0.031245,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/multi_aoi_metrics.csv,AOI=AOI-02; sensor=modis; window=W2024; target_year=2025,0.031245428378228,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 2,Table 2,R2,0.6881462101983714,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/multi_aoi_metrics.csv,AOI=AOI-02; sensor=modis; window=W2024; target_year=2025,0.6881462101983714,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 2,Table 2,Pearson_r,0.8768581830923973,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/multi_aoi_metrics.csv,AOI=AOI-02; sensor=modis; window=W2024; target_year=2025,0.8768581830923973,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
